abandon	拋棄
refreshment	點心
refugee	難民
refuge	保護；避難；避難所
refusal	拒絕
regarding	關於
register	註冊；登記；記錄簿
registration	登記；註冊
regulate	管制；調節
regulation	規則
rehearse	預演
rehearsal	預演；排演
rejection	拒絕
relative	親戚；有關的；比較上的
relatively	相對地；比較上
relaxation	放鬆；鬆懈；消遣活動
relieve	減輕；解除；使...放心
reluctant	不情願的
reluctantly	勉強地
remark	意見；短評
remarkable	顯著的
remarkably	顯著地；非常
remedy	補救辦法；治療法
repetition	重複；反覆
representation	代表；代表權
reputation	名聲；名譽
rescue	救援；拯救，救出
research	研究
researcher	研究員
resemble	像，與...相似
reservation	預訂
resign	辭職
resignation	辭職；辭職信
resistance	抵抗
resistant	有抵抗力的；抗拒的
resolution	決心；解決
resolve	決心；解決
respectable	可敬的；得體的
respectably	高尚的；得體地
respectful	恭敬的
respectfully	恭敬地；有禮地
restore	恢復
restriction	限制
retain	保存
retreat	撤退；退出
reunion	團聚
reunite	使...重聚
revenge	復仇；報復
revise	修訂；修正
revision	修訂版；複習
revolution	革命；迴轉
revolutionary	革命的；革命性的
reward	獎賞；報酬；獎金
rhyme	押韻；韻文
rhythm	韻律，節奏
romance	戀史；傳奇
romanticism	浪漫主義
roughly	粗魯地；大致上
route	路線
ruin	毀壞；遺跡
rural	鄉村的
sacrifice	犧牲
salary	薪水
salesperson/salesman/saleswoman	推銷員；門市人員
satellite	衛星
satisfaction	滿意
scarcely	缺乏地；幾乎不；僅僅，勉勉強強地
scenery	風景
scold	責罵
scratch	搔抓
screwdriver	螺絲起子；螺絲起子雞尾酒
sculpture	雕塑；雕塑品
seagull/gull	海鷗
senior	年長的；資深的
seniority	年長；資深
settler	殖民者
severe	嚴厲的，嚴格的；嚴肅的
severely	嚴厲地
shameful	可恥的；無恥的
shameless	不知羞恥的
shaver	剃削的工具
shelter	保護，庇護；躲避
shift	移動；轉移；交替
shortsighted	近視的；沒有先見之明的
shrug	聳肩
shuttle	交通車；往返
sightseeing	觀光
signature	簽名
significance	重要；意義
sincerity	誠意
singular	單數的；與眾不同的
site	位置；遺跡
sketch	素描；概要
slight	輕微的；少量的；苗條的
slogan	口號；標語
smog	煙霧
sneak	偷偷地進入；偷偷帶出
sneaky	偷偷摸摸的
sneaker	(膠底)運動鞋
sneeze	打噴嚏；噴嚏
sob	啜泣；啜泣聲
socket	插座；插頭；眼窩
software	軟體
solar	太陽的
sorrowful	傷心的
souvenir	紀念品
spare	抽出；空閒的；備用品
spark	發出火花；引起；火花
sparkle	閃閃發光；閃耀
sparrow	麻雀
spear	用矛(或魚叉)戳刺；矛；魚叉
species	(生物分類)種
spicy	辛辣的
spiritual	精神上的；心靈的
splendid	壯麗的
split	劈開；分裂
sportsman	運動員
sportsmanship	運動家精神
status	地位；狀態
stem	起源於；(植物的)莖幹
stingy	吝嗇的
strengthen	增強
strive	努力；奮鬥
stroke	撫摸；中風；(游泳的)一划；一筆畫
suggestion	建議
suggestive	暗示的
summarize	概述
surf	衝浪；海浪
surgeon	外科醫生
surgery	外科手術
surrender	放棄；投降
surroundings	環境
suspicious	懷疑的
syllable	音節
sympathetic	富有同情心的；贊同的
sympathy	同情
sympathize	同情；有同感
symphony	交響樂
syrup	糖漿
systematic	有系統的
technician	技師
technological	科技的
telegram	電報
telegraph	電訊；電報
telescope	望遠鏡
tendency	傾向；性向
tense	緊張的；緊繃的；時態
tension	緊張狀態
terrify	驚嚇
terrifying	嚇人的
terror	恐懼
terrorism	恐怖主義
terrorist	恐怖分子
theme	主題
thorough	完全的；細心周到的
thoroughly	完全地；細心地
thoughtful	周到的；體貼的
timid	膽怯的
tiresome	煩人的
tolerable	可容忍的；尚可的
tolerance	抵抗力
tolerate	容忍
tolerant	寬容的；寬大的
tomb	墳墓
tough	堅韌的；難纏的
tragedy	悲劇
tragic	慘痛的
transfer	轉移；調任
transform	改變；性質
translate	翻譯
translation	翻譯；譯本
translator	翻譯者；口譯人員
transportation	交通工具；運輸
tremendous	巨大的；驚人的
triumph	大勝利；獲得勝利
troublesome	令人討厭的；棘手的
tug-of-war	拔河
twinkle	閃爍
typist	打字員
underline	劃底線
underpass	地下道
unique	獨一無二的
universal	普遍的；全宇宙的；全世界的
university	大學
upload	上傳
urban	都市的
urge	驅使；衝動
urgent	緊急的；強行要求的
urgency	緊迫；強行要求
usage	使用；用法
vain	無益的；白費的；自負的
vast	廣大的；浩瀚無邊的
vegetarian	素食者
verb	動詞
very	正是
vessel	脈管
